id,label,type,species
hexokinase,Hexokinase,Protein,Unknown
lactase,Lactase,Protein,Unknown
pepsin,Pepsin,BiologicalEntity,Unknown
proteins,proteins,BiologicalEntity,Unknown
amylase,Amylase,Protein,Unknown
lipase,Lipase,Protein,Unknown
trypsin,Trypsin,BiologicalEntity,Unknown
polymerase,polymerase,Protein,Unknown
maltase,Maltase,Protein,Unknown
sucrase,Sucrase,Protein,Unknown
urease,Urease,Protein,Unknown
glucokinase,Glucokinase,Protein,Unknown
insulin,Insulin,BiologicalEntity,Unknown
inhibitors,inhibitors,BiologicalEntity,Unknown
cellulase,Cellulase,Protein,Unknown
synthase,synthase,Protein,Unknown
ligase,Ligase,Protein,Unknown
oxidase,Oxidase,Protein,Unknown
kinase,Kinase,Protein,Unknown
polymerase,Polymerase,Protein,Unknown
lpmos,LPMOs,BiologicalEntity,Unknown
lpmo,LPMO,BiologicalEntity,Unknown
aa9,AA9,BiologicalEntity,Unknown
glucose,glucose,Metabolite,Unknown
lactose,lactose,BiologicalEntity,Unknown
bonds,bonds,BiologicalEntity,Unknown
h2o2,H2O2,BiologicalEntity,Unknown
reductant,reductant,BiologicalEntity,Unknown
motif,motif,BiologicalEntity,Unknown
starch,starch,Metabolite,Unknown
sugars,sugars,BiologicalEntity,Unknown
fats,fats,BiologicalEntity,Unknown
dna,DNA,BiologicalEntity,Unknown
chains,chains,BiologicalEntity,Unknown
maltose,maltose,BiologicalEntity,Unknown
sucrose,sucrose,BiologicalEntity,Unknown
urea,urea,BiologicalEntity,Unknown
glucose-6-phosphate,glucose-6-phosphate,BiologicalEntity,Unknown
carbohydrates,carbohydrates,BiologicalEntity,Unknown
replication,replication,BiologicalEntity,Unknown
cellulose,cellulose,Metabolite,Unknown
cellulose,Cellulose,Metabolite,Unknown
this,This,BiologicalEntity,Unknown
this,this,BiologicalEntity,Unknown
site,site,BiologicalEntity,Unknown
biomass,biomass,BiologicalEntity,Unknown
biomass,Biomass,BiologicalEntity,Unknown
adp,ADP,BiologicalEntity,Unknown
omega-hydroxy-l-arginine,omega-hydroxy-L-arginine,BiologicalEntity,Unknown
isophthalate,isophthalate,BiologicalEntity,Unknown
reactions,reactions,BiologicalEntity,Unknown
ogs,OGs,BiologicalEntity,Unknown
og,OG,BiologicalEntity,Unknown
nadh,NADH,BiologicalEntity,Unknown
chitin,chitin,Metabolite,Unknown
polysaccharides,polysaccharides,BiologicalEntity,Unknown
chitin,Chitin,Metabolite,Unknown
pests,pests,BiologicalEntity,Unknown
wall,wall,BiologicalEntity,Unknown
wall,Wall,BiologicalEntity,Unknown
nanofibrils,nanofibrils,BiologicalEntity,Unknown
products,products,BiologicalEntity,Unknown
cellulose-active,cellulose-active,BiologicalEntity,Unknown
cellulose-active,Cellulose-Active,BiologicalEntity,Unknown
copper,copper,BiologicalEntity,Unknown
copper,Copper,BiologicalEntity,Unknown
substrates,substrates,BiologicalEntity,Unknown
substrates,Substrates,BiologicalEntity,Unknown
chitooligosaccharides,chitooligosaccharides,BiologicalEntity,Unknown
gluco-oligosaccharides,gluco-oligosaccharides,BiologicalEntity,Unknown
saccharide,saccharide,BiologicalEntity,Unknown
histidine-brace,histidine-brace,BiologicalEntity,Unknown
"substrates,","substrates,",BiologicalEntity,Unknown
biopolymers,biopolymers,BiologicalEntity,Unknown
his1,His1,BiologicalEntity,Unknown
fibers,Fibers,BiologicalEntity,Unknown
fibers,fibers,BiologicalEntity,Unknown
ends,ends,BiologicalEntity,Unknown
pectin,pectin,BiologicalEntity,Unknown
oligosaccharides,oligosaccharides,BiologicalEntity,Unknown
hemicelluloses,hemicelluloses,BiologicalEntity,Unknown
xylan,xylan,BiologicalEntity,Unknown
lignocellulose,lignocellulose,BiologicalEntity,Unknown
bagasse,bagasse,BiologicalEntity,Unknown
linkages,linkages,BiologicalEntity,Unknown
substrate,substrate,BiologicalEntity,Unknown
substrate,Substrate,BiologicalEntity,Unknown
peroxide,peroxide,BiologicalEntity,Unknown
peroxide,Peroxide,BiologicalEntity,Unknown
c4,C4,BiologicalEntity,Unknown
softwoods,softwoods,BiologicalEntity,Unknown
polysaccharide,polysaccharide,BiologicalEntity,Unknown
polysaccharide,Polysaccharide,BiologicalEntity,Unknown
polymers,polymers,BiologicalEntity,Unknown
polymers,Polymers,BiologicalEntity,Unknown
reductants,reductants,BiologicalEntity,Unknown
xg,XG,BiologicalEntity,Unknown
surface,surface,BiologicalEntity,Unknown
acids,acids,BiologicalEntity,Unknown
acids,Acids,BiologicalEntity,Unknown
feedstocks,feedstocks,BiologicalEntity,Unknown
lignocelluloses,lignocelluloses,BiologicalEntity,Unknown
cinnamon,cinnamon,BiologicalEntity,Unknown
nfc,NFC,BiologicalEntity,Unknown
reservoir,reservoir,BiologicalEntity,Unknown
electrons,electrons,BiologicalEntity,Unknown
center,center,BiologicalEntity,Unknown
β-chitin,β-chitin,BiologicalEntity,Unknown
poly-saccharides,poly-saccharides,BiologicalEntity,Unknown
electron,electron,BiologicalEntity,Unknown
h2o2.,H2O2.,BiologicalEntity,Unknown
citrate,citrate,BiologicalEntity,Unknown
softwood,softwood,BiologicalEntity,Unknown
phosphate,phosphate,BiologicalEntity,Unknown
structures,structures,BiologicalEntity,Unknown
α-chitin,α-chitin,BiologicalEntity,Unknown
dyes,Dyes,BiologicalEntity,Unknown
dyes,dyes,BiologicalEntity,Unknown
h₂o₂,H₂O₂,BiologicalEntity,Unknown
