id,type,species
LPMO_hexokinase,Protein,Neurospora crassa
LPMO_lactase,Protein,Neurospora crassa
LPMO_pepsin,Protein,Neurospora crassa
LPMO_amylase,Protein,Neurospora crassa
LPMO_lipase,Protein,Neurospora crassa
LPMO_trypsin,Protein,Neurospora crassa
LPMO_polymerase,Protein,Neurospora crassa
LPMO_maltase,Protein,Neurospora crassa
LPMO_sucrase,Protein,Neurospora crassa
LPMO_urease,Protein,Neurospora crassa
LPMO_glucokinase,Protein,Neurospora crassa
LPMO_insulin,Protein,Neurospora crassa
LPMO_inhibitors,Protein,Neurospora crassa
LPMO_cellulase,Protein,Neurospora crassa
LPMO_synthase,Protein,Neurospora crassa
LPMO_ligase,Protein,Neurospora crassa
LPMO_oxidase,Protein,Neurospora crassa
LPMO_kinase,Protein,Neurospora crassa
LPMO_polymerase,Protein,Neurospora crassa
LPMO_lpmos,Protein,Neurospora crassa
LPMO_lpmo,Protein,Neurospora crassa
LPMO_aa9,Protein,Neurospora crassa
LPMO_glucose,Compound,Neurospora crassa
LPMO_lactose,Protein,Neurospora crassa
LPMO_bonds,Protein,Neurospora crassa
LPMO_h2o2,Protein,Neurospora crassa
LPMO_reductant,Protein,Neurospora crassa
LPMO_motif,Protein,Neurospora crassa
LPMO_starch,Compound,Neurospora crassa
LPMO_sugars,Protein,Neurospora crassa
LPMO_fats,Protein,Neurospora crassa
LPMO_dna,Protein,Neurospora crassa
LPMO_chains,Protein,Neurospora crassa
LPMO_maltose,Protein,Neurospora crassa
LPMO_sucrose,Protein,Neurospora crassa
LPMO_urea,Protein,Neurospora crassa
LPMO_glucose-6-phosphate,Protein,Neurospora crassa
LPMO_carbohydrates,Protein,Neurospora crassa
LPMO_replication,Protein,Neurospora crassa
LPMO_cellulose,Compound,Neurospora crassa
LPMO_cellulose,Compound,Neurospora crassa
LPMO_this,Protein,Neurospora crassa
LPMO_this,Protein,Neurospora crassa
LPMO_site,Protein,Neurospora crassa
LPMO_biomass,Protein,Neurospora crassa
LPMO_biomass,Protein,Neurospora crassa
LPMO_adp,Protein,Neurospora crassa
LPMO_omega-hydroxy-l-arginine,Protein,Neurospora crassa
LPMO_isophthalate,Protein,Neurospora crassa
LPMO_reactions,Protein,Neurospora crassa
LPMO_ogs,Protein,Neurospora crassa
LPMO_og,Protein,Neurospora crassa
LPMO_nadh,Protein,Neurospora crassa
LPMO_chitin,Compound,Neurospora crassa
LPMO_polysaccharides,Protein,Neurospora crassa
LPMO_chitin,Compound,Neurospora crassa
LPMO_pests,Protein,Neurospora crassa
LPMO_wall,Protein,Neurospora crassa
LPMO_wall,Protein,Neurospora crassa
LPMO_nanofibrils,Protein,Neurospora crassa
LPMO_products,Protein,Neurospora crassa
LPMO_cellulose-active,Protein,Neurospora crassa
LPMO_cellulose-active,Protein,Neurospora crassa
LPMO_copper,Protein,Neurospora crassa
LPMO_copper,Protein,Neurospora crassa
LPMO_substrates,Protein,Neurospora crassa
LPMO_substrates,Protein,Neurospora crassa
LPMO_chitooligosaccharides,Protein,Neurospora crassa
LPMO_gluco-oligosaccharides,Protein,Neurospora crassa
LPMO_saccharide,Protein,Neurospora crassa
LPMO_histidine-brace,Protein,Neurospora crassa
"LPMO_substrates,",Protein,Neurospora crassa
LPMO_biopolymers,Protein,Neurospora crassa
LPMO_his1,Protein,Neurospora crassa
LPMO_fibers,Protein,Neurospora crassa
LPMO_fibers,Protein,Neurospora crassa
LPMO_ends,Protein,Neurospora crassa
LPMO_pectin,Protein,Neurospora crassa
LPMO_oligosaccharides,Protein,Neurospora crassa
LPMO_hemicelluloses,Protein,Neurospora crassa
LPMO_xylan,Protein,Neurospora crassa
LPMO_lignocellulose,Protein,Neurospora crassa
LPMO_bagasse,Protein,Neurospora crassa
LPMO_linkages,Protein,Neurospora crassa
LPMO_substrate,Protein,Neurospora crassa
LPMO_substrate,Protein,Neurospora crassa
LPMO_peroxide,Protein,Neurospora crassa
LPMO_peroxide,Protein,Neurospora crassa
LPMO_c4,Protein,Neurospora crassa
LPMO_softwoods,Protein,Neurospora crassa
LPMO_polysaccharide,Protein,Neurospora crassa
LPMO_polysaccharide,Protein,Neurospora crassa
LPMO_polymers,Protein,Neurospora crassa
LPMO_polymers,Protein,Neurospora crassa
LPMO_reductants,Protein,Neurospora crassa
LPMO_xg,Protein,Neurospora crassa
LPMO_surface,Protein,Neurospora crassa
LPMO_acids,Protein,Neurospora crassa
LPMO_acids,Protein,Neurospora crassa
LPMO_feedstocks,Protein,Neurospora crassa
LPMO_lignocelluloses,Protein,Neurospora crassa
LPMO_cinnamon,Protein,Neurospora crassa
LPMO_nfc,Protein,Neurospora crassa
LPMO_reservoir,Protein,Neurospora crassa
LPMO_electrons,Protein,Neurospora crassa
LPMO_center,Protein,Neurospora crassa
LPMO_β-chitin,Protein,Neurospora crassa
LPMO_poly-saccharides,Protein,Neurospora crassa
LPMO_electron,Protein,Neurospora crassa
LPMO_h2o2.,Protein,Neurospora crassa
LPMO_citrate,Protein,Neurospora crassa
LPMO_softwood,Protein,Neurospora crassa
LPMO_phosphate,Protein,Neurospora crassa
LPMO_structures,Protein,Neurospora crassa
LPMO_α-chitin,Protein,Neurospora crassa
LPMO_dyes,Protein,Neurospora crassa
LPMO_dyes,Protein,Neurospora crassa
LPMO_h₂o₂,Protein,Neurospora crassa
